,0,1
0,0.00012966570192818327,Attribute18
1,0.00022057134927433442,Attribute11
2,0.0012028625910777135,Attribute19
3,0.002395770112591844,Attribute16
4,0.0029403166312882423,Attribute17
5,0.005674399790160156,Attribute10
6,0.007041506325139113,Attribute14
7,0.0073305000768303374,Attribute8
8,0.007704386546436237,Attribute20
9,0.011618886823694718,Attribute15
10,0.012746841156174638,Attribute9
11,0.013412980532995888,Attribute13
12,0.014547865230223445,Attribute7
13,0.014905530877295736,Attribute12
14,0.018461146132256023,Attribute5
15,0.022198966052434432,Attribute6
16,0.026897452033083802,Attribute4
17,0.03296342942307773,Attribute2
18,0.037889406221516264,Attribute3
19,0.0938279630234552,Attribute1
